Station Code,Station Name,District,State,Trains passing through
APB,Anuppambattu,Thiruvallur,Tamil Nadu,0
APCH,Alipurduar College,Jalpaiguri,West Bengal,0
APD,Alipur Duar,Alipurduar,West Bengal,2
APDC,Alipur Duar Court,Jalpaiguri,West Bengal,0
APDJ,Alipur Duar Jn,Jalpaiguri,West Bengal,34
APE,Andanappettai,Nagapattinam,Tamil Nadu,0
APG,Anupganj,Lucknow,Uttar Pradesh,0
APH,Anupgarh,Ganganagar,Rajasthan,2
API,Akkaraippatti,Dindigul,Tamil Nadu,2
APJ,Amarpur Jorasi,Mahendragarh,Haryana,0
APK,Aruppukkottai,Virudhunagar,Tamil Nadu,10
APL,Appikatla,Guntur,Andhra Pradesh,0
APN,Ayodhyapattanam,Salem,Tamil Nadu,2
APP,Ambapendarpur Halt,Nalanda,Bihar,0
APQ,Aditpara,Porbandar,Gujarat,0
APR,Anuppur Jn,Anuppur,Madhya Pradesh,59
APRD,Ashapurna Devi,Purba Medinipur,West Bengal,0
APRH,Alehpur Halt,Saran,Bihar,0
APT,Anaparti,East Godavari,Andhra Pradesh,22
APTA,Apta,Raigad,Maharashtra,0
APU,Anipur,Karimganj,Assam,0
AQ,Ajni Electric Loco Shed,Nagpur,Maharashtra,0
AQG,Ashapura Gomat,Jaisalmer,Rajasthan,11
AQM,Adaikalapuram,Thoothukkudi,Tamil Nadu,0
AQX,Ajni Yard,Nagpur,Maharashtra,0
ARA,Ara,Bhojpur,Bihar,105
ARAG,Arag,Sangli,Maharashtra,4
ARCL,Arunachal,Cachar,Assam,1
ARD,Amarda Road,Mayurbhanj,Odisha,2
ARE,Arnetha,Bundi,Rajasthan,0
ARG,Angar Ghat,Samastipur,Bihar,2
ARGD,Arigada,Ramgarh,Jharkhand,1
ARGI,Arangi,Gumla,Jharkhand,0
ARGL,Argul,Khordha,Odisha,1
ARGP,Aralaguppe,Tumakuru,Karnataka,0
ARH,Amhera,Bijnor,Uttar Pradesh,0
ARI,Antri,Gwalior,Madhya Pradesh,0
ARJ,Aunrihar Jn,Ghazipur,Uttar Pradesh,48
ARK,Arakku,Visakhapatnam,Andhra Pradesh,2
ARKA,Arkha,Rae Bareli,Uttar Pradesh,1
ARL,Aroul,Kanpur Dehat,Uttar Pradesh,2
ARMU,Armur,Nizamabad,Telangana,2
ARN,Arand,Mahasamund,Chhatisgarh,0
ARNA,Arnia,Dausa,Rajasthan,0
ARNB,Amarun,Purba Bardhaman,West Bengal,0
ARNG,Arunnagar,Gondia,Maharashtra,0
ARNH,Arjunahalli,Mysuru,Karnataka,0
AROR,Aroor Halt,Alappuzha,Kerala,0
ARP,Atrampur,Prayagraj,Uttar Pradesh,1
ARPL,Arepalli Halt,Mahabubnagar,Telangana,0
ARQ,Arariya Court,Araria,Bihar,4
ARR,Arariya,Araria,Bihar,0
ARS,Arasur,Mayiladuthurai,Tamil Nadu,0
ARU,Arasalu,Shivamogga,Karnataka,0
ARV,Arni Road,Tiruvannamalai,Tamil Nadu,10
ARVI,Arvi,Wardha,Maharashtra,0
ARW,Ahraura Road,Mirzapur,Uttar Pradesh,2
ARX,Areli,Shahjahanpur,Uttar Pradesh,0
AS,Arjansar,Bikaner,Rajasthan,0
ASAF,Asifabad Road,Komaram Bheem,Telangana,4
ASAN,Asan,Panipat,Haryana,0
ASAR,Asra Halt,Baghpat,Uttar Pradesh,0
ASB,Asanboni,Purbi Singhbhum,Jharkhand,0
ASCE,Athsarai,Kaushambi,Uttar Pradesh,0
ASD,Ambasamudram,Tirunelveli,Tamil Nadu,4
ASE,Asaudah,Jhajjar,Haryana,0
ASH,Aishbagh,Lucknow,Uttar Pradesh,38
ASI,Arseni,Hardoi,Uttar Pradesh,0
ASJP,Amar Saheed Jagdev P Halt,Bhojpur,Bihar,0
ASK,Arsikere Jn,Hassan,Karnataka,71
ASKN,Ashok Nagar,Ashoknagar,Madhya Pradesh,34
ASKR,Ashok Nagar Road,North 24 Parganas,West Bengal,0
ASL,Aslaoda,Ujjain,Madhya Pradesh,0
ASLU,Aslu,Churu,Rajasthan,0
ASM,Asarma,Surat,Gujarat,0
ASN,Asansol Jn,Paschim Bardhaman,West Bengal,200
ASNE,Asansol East,Paschim Bardhaman,West Bengal,0
ASO,Asangaon,Thane,Maharashtra,0
ASP,Aspari,Kurnool,Andhra Pradesh,0
ASR,Amritsar Jn,Amritsar,Punjab,100
ASSH,Aishbagh,Lucknow,Uttar Pradesh,2
AST,Asaoti,Palwal,Haryana,5
ASTG,Astegaon,Amravati,Maharashtra,1
ASV,Asarva Jn,Ahmadabad,Gujarat,2
ASVL,Aranmansi Srvyl,#N/A,,0
ASW,Harsawa,Sikar,Rajasthan,0
AT,Asnoti,Uttara Kannada,Karnataka,0
ATA,Ata,Jalaun,Uttar Pradesh,0
ATB,Alattambadi,Thiruvarur,Tamil Nadu,2
ATC,Arts College,Hyderabad,Telangana,0
