Station Code,Station Name,District,State,Trains passing through
RHBH,Rakesh Bagh Halt,Giridih,Jharkhand,0
RHE,Rakha Mines,Purbi Singhbhum,Jharkhand,8
RHG,Rajgarh,Churu,Rajasthan,24
RHI,Rakhi,Barmer,Rajasthan,0
RHMA,Rahama,Jagatsinghapur,Odisha,6
RHN,Roshanpur,Moradabad,Uttar Pradesh,2
RHNE,Rohini,Jalgaon,Maharashtra,0
RHO,Rohna Halt,Wardha,Maharashtra,0
RHOT,Rohna Town,Wardha,Maharashtra,0
RHR,Rajhura,Palamu,Jharkhand,0
RHU,Rahon,Shahid Bhagat Singh Nagar,Punjab,0
RHW,Rohira Ghalughra,Sangrur,Punjab,0
RIBP,Ramakunda Halt,Dhanbad,Jharkhand,0
RID,Ridhore,Solapur,Maharashtra,0
RIG,Raigarh,Raigarh,Chhatisgarh,53
RIGA,Riga,Sitamarhi,Bihar,0
RIKA,Ratikheda,Ashoknagar,Madhya Pradesh,0
RIKD,Rishikund,Munger,Bihar,0
RIM,Rajim,Raipur,Chhatisgarh,0
RIP,Rohanpur,#N/A,,0
RIS,Rishra,Hooghly,West Bengal,0
RJ,Rawat Ganj,Gorakhpur,Uttar Pradesh,0
RJA,Rajanagar,Nalanda,Bihar,8
RJAK,Rajnagar,Chhatarpur,Madhya Pradesh,0
RJAP,Rajapur,Mahabubnagar,Telangana,0
RJB,Rajabera,Bokaro,Jharkhand,1
RJC,Rajsitapur,Surendranagar,Gujarat,0
RJD,Raj Pardi,Bharuch,Gujarat,0
RJG,Rajgram,Birbhum,West Bengal,8
RJGR,Rajthagarh,Cuttack,Odisha,1
RJI,Rajawari,Ghazipur,Uttar Pradesh,0
RJJN,Rajajan Halt,Samastipur,Bihar,0
RJK,Raja Ka Sahaspur,Moradabad,Uttar Pradesh,7
RJL,Rajmahal,Sahibganj,Jharkhand,0
RJLA,Rajla,Jamui,Bihar,0
RJLK,Rajalukah,Mayurbhanj,Odisha,0
RJMA,Rajomajra,Sangrur,Punjab,0
RJMP,Rajmalpur Road,Ballia,Uttar Pradesh,0
RJN,Raj Nandgaon,Rajnandgaon,Chhatisgarh,64
RJO,Rajendra Pul,Patna,Bihar,4
RJP,Razampeta,Y.S.R.,Andhra Pradesh,45
RJPB,Rajendra Nagar Patna,Patna,Bihar,67
RJPM,Rajapalayam,Virudhunagar,Tamil Nadu,10
RJQ,Rajendranagar,Indore,Madhya Pradesh,0
RJR,Rajaldesar,Churu,Rajasthan,8
RJS,Rajiyasar,Ganganagar,Rajasthan,0
RJT,Rajkot Jn,Rajkot,Gujarat,87
RJU,Rajula City,Amreli,Gujarat,0
RJW,Rajevadi,Pune,Maharashtra,0
RJY,Rajamundry,East Godavari,Andhra Pradesh,210
RK,Roorkee,Haridwar,Uttarakhand,76
RKAE,Ramkistopore,Howrah,West Bengal,0
RKB,Raika Bagh,Jodhpur,Rajasthan,23
RKD,Rukadi,Kolhapur,Maharashtra,8
RKDI,Raukheri,Vidisha,Madhya Pradesh,0
RKG,Rattoke Gudwara,Amritsar,Punjab,0
RKH,Rakhiyal,Gandhinagar,Gujarat,0
RKI,Ramkanali Jn,Purulia,West Bengal,0
RKJE,Rakhitpur,Dhanbad,Jharkhand,0
RKK,Ratangarh Kanakwal,Bathinda,Punjab,0
RKL,Ramkola,Kushinagar,Uttar Pradesh,4
RKM,Raja Ki Mandi,Agra,Uttar Pradesh,48
RKN,Rati Ka Nagla,Hathras,Uttar Pradesh,2
RKO,Ramakrishnapuram Gate,Hyderabad,Telangana,0
RKR,Ranikund Rarah,Bharatpur,Rajasthan,0
RKRI,Rao Khedi,Vidisha,Madhya Pradesh,0
RKS,Sarai Rani,Azamgarh,Uttar Pradesh,0
RKSH,Rishikesh,Dehradun,Uttarakhand,4
RKSI,Rakshi,Sundargarh,Odisha,0
RKSN,Rajkharsawan Jn,Saraikela Kharsawan,Jharkhand,14
RKX,Rukhi,Sonipat,Haryana,0
RKY,Kothariya,Rajkot,Gujarat,2
RKZ,Rajkiawas,Pali,Rajasthan,2
RLA,Rajula Jn,Amreli,Gujarat,6
RLD,Randala,Mahesana,Gujarat,0
RLE,Railey English Halt,Patna,Bihar,0
RLG,Relangi,West Godavari,Andhra Pradesh,0
RLJC,Ranital Link Cabin,#N/A,,0
RLK,Rohal Khurd,Ujjain,Madhya Pradesh,0
RLL,Regadipalli,Y.S.R.,Andhra Pradesh,0
RLO,Rayalcheruvu,Anantapur,Andhra Pradesh,4
RLP,Harlapur,Gadag,Karnataka,2
RLR,Raila Road,Bhilwara,Rajasthan,0
RLS,Romana Albel Singh,Faridkot,Punjab,0
RLT,Ralapet,Komaram Bheem,Telangana,2
RLW,Repalliwada,Komaram Bheem,Telangana,2
RLX,Ramanujampalli,Anantapur,Andhra Pradesh,0
RM,Rajmane,Jalgaon,Maharashtra,1
RMA,Ramganj Mandi,Kota,Rajasthan,55
RMAR,Ram Mandir Oshiwara,#N/A,,0
RMB,Rampura Beri,Churu,Rajasthan,2
RMBG,Ramghat Halt,Ayodhya,Uttar Pradesh,1
RMC,Ram Chaura Road,Prayagraj,Uttar Pradesh,5
RMD,Ramanathapuram,Ramanathapuram,Tamil Nadu,18
RMF,Ramna,Garhwa,Jharkhand,5
RMGD,Ramgad,Ballari,Karnataka,0
RMGJ,Ramganj,Amethi,Uttar Pradesh,1
RMGM,Ramanagaram,Ramanagara,Karnataka,33
RMH,Rangmahal,Ganganagar,Rajasthan,2
RMJ,Ramrajatala,Howrah,West Bengal,0
RMJK,Ram Nagar J K,Udhampur,Jammu And Kashmir,4
RML,Rompalle,Vizianagaram,Andhra Pradesh,0
RMM,Rameswaram,Ramanathapuram,Tamil Nadu,22
RMN,Raman,Bathinda,Punjab,2
RMNP,Ramannapet,Yadadri Bhuvanagiri,Telangana,6
RMNR,Rahmat Nagar,Lucknow,Uttar Pradesh,0
RMO,Ramakona,Chhindwara,Madhya Pradesh,0
RMP,Rahimatpur,Satara,Maharashtra,4
RMPB,Rampur Bazar,Dakshin Dinajpur,West Bengal,1
RMPH,Rampahari,Morena,Madhya Pradesh,0
RMPR,Rampur Halt,Lakhisarai,Bihar,2
RMQ,Ramri,Guna,Madhya Pradesh,0
RMR,Ramnagar,Nainital,Uttarakhand,12
RMRB,Ramnagar Bengal,Purba Medinipur,West Bengal,4
RMS,Ramshai,Jalpaiguri,West Bengal,0
RMSR,Ramsinghpur,Ganganagar,Rajasthan,2
RMT,Ramgarh Cant,Ramgarh,Jharkhand,14
RMTR,Remount Road,Howrah,West Bengal,0
RMU,Rampur,Rampur,Uttar Pradesh,59
RMUA,Rampur,#N/A,,0
RMUL,Ramgarh Ujalbas,Hanumangarh,Rajasthan,0
RMV,Ramavarappadu,Krishna,Andhra Pradesh,1
RMW,Roshan Mau,Kanpur Dehat,Uttar Pradesh,0
RMX,Ramsar,Barmer,Rajasthan,0
RMY,Rukmapur,Vikarabad,Telangana,2
RMZ,Routhpuram Halt,Srikakulam,Andhra Pradesh,0
RN,Ratnagiri,Ratnagiri,Maharashtra,122
RNA,Rohana Kalan,Muzaffarnagar,Uttar Pradesh,1
RNB,Ranpura,Dholpur,Rajasthan,0
RNBD,Rana Bordi,Porbandar,Gujarat,0
RNBT,Rahenbata,Balangir,Odisha,0
RNC,Ranchi,Ranchi,Jharkhand,72
RNE,Ranjani,Jalna,Maharashtra,2
RNG,Raniganj,Paschim Bardhaman,West Bengal,45
RNGG,Rangaliting,Golaghat,Assam,2
RNGN,Ranigaon,Cachar,Assam,0
RNGR,Rainagar,Purba Bardhaman,West Bengal,0
RNH,Runkhera,Ujjain,Madhya Pradesh,2
RNI,Rangapani,Darjeeling,West Bengal,0
RNIR,Rajnarainpur,Lakhimpur Kheri,Uttar Pradesh,0
RNIS,Ranolishishu,Sikar,Rajasthan,2
RNJ,Runija,Ujjain,Madhya Pradesh,0
RNJD,Ranjangaon Rd,Ahmednagar,Maharashtra,0
RNJP,Ranajitpura,Ballari,Karnataka,0
RNKA,Runkuta,Agra,Uttar Pradesh,0
RNL,Ranala,Nandurbar,Maharashtra,0
RNMD,Runnymede,Nilgiris,Tamil Nadu,0
RNN,Rajankunti,Bangalore,Karnataka,0
RNO,Ranoli,Vadodara,Gujarat,1
RNPO,Ranigaon (Ranipur),#N/A,,0
RNPR,Rupnarayanpur,Paschim Bardhaman,West Bengal,6
RNQ,Renukut,Sonbhadra,Uttar Pradesh,19
RNR,Ranibennur,Haveri,Karnataka,37
RNRD,Ranipur Road,Jhansi,Uttar Pradesh,1
RNT,Ranthambhore,Sawai Madhopur,Rajasthan,0
RNTE,Ramanand,Bhojpur,Bihar,0
RNTL,Ranital,Balasore,Odisha,0
RNU,Ratnapur,Burhanpur,Madhya Pradesh,0
RNV,Raniwara,Jalore,Rajasthan,10
RNW,Renwal,Jaipur,Rajasthan,4
RNX,Ranipatra,Purnia,Bihar,0
RNY,Rangiya Jn,Kamrup,Assam,76
RNZ,Ramnagar Road,#N/A,,0
ROA,Rusera Ghat,Samastipur,Bihar,7
ROB,Robertson,Raigarh,Chhatisgarh,0
ROH,Roha,Raigad,Maharashtra,1
ROHA,Roha,Raigad,Maharashtra,54
ROHE,Rohe Road,#N/A,,0
ROHN,Rohednagar Halt,Jhajjar,Haryana,0
ROI,Reoti,Ballia,Uttar Pradesh,4
ROK,Rohtak Jn,Rohtak,Haryana,59
ROL,Rajuli,Chandrapur,Maharashtra,0
ROP,Rupsa Jn,Balasore,Odisha,8
RORA,Rora,Jhansi,Uttar Pradesh,1
ROS,Rajosi,Ajmer,Rajasthan,0
ROU,Rourkela,Sundargarh,Odisha,97
ROZA,Roza Jn,Shahjahanpur,Uttar Pradesh,16
RPAN,Rangapara North,Sonitpur,Assam,12
RPAR,Rupnagar,Rupnagar,Punjab,12
RPB,Rupasibari,Cachar,Assam,1
RPBC,Rayanapadu B Cabin,#N/A,,0
RPD,Rupaund,Katni,Madhya Pradesh,6
RPGU,Rasulpurgogamau,Kanpur Dehat,Uttar Pradesh,0
RPH,Rampur Hat,Birbhum,West Bengal,93
RPHR,Raipur Hariyana,Hisar,Haryana,0
RPI,Rupaheli,Bhilwara,Rajasthan,0
RPJ,Rajpura Jn,Patiala,Punjab,64
RPK,Ravalpalli Kala,Ranga Reddy,Telangana,2
RPL,Reddipalle,Y.S.R.,Andhra Pradesh,0
RPLY,Rupauli,Madhepura,Bihar,0
RPM,Royapuram,Chennai,Tamil Nadu,0
RPM-ELS,Royapuram Electric Loco Shed,Chennai,Tamil Nadu,0
RPMN,Rampurmani Hara,Saharanpur,Uttar Pradesh,4
RPMY,Royapuram Halt,#N/A,,0
RPO,Rawatpur,Kanpur Nagar,Uttar Pradesh,4
RPP,Ranu Pipri,Jamnagar,Gujarat,0
RPR,Raghunathpur,Katihar,Bihar,16
RPRD,Rupra Road,Kalahandi,Odisha,16
RPRL,Raparla Halt,Prakasam,Andhra Pradesh,0
RPSC,Rudrapur Sidcul Halt,Udham Singh Nagar,Uttarakhand,1
RPT,Ranippettai,Vellore,Tamil Nadu,0
RPUR,Ratanpur,Munger,Bihar,6
RPV,Rajapatti,Saran,Bihar,0
RPWN,Rambhawan Halt,Nalanda,Bihar,0
RPY,Rupai,Tinsukia,Assam,0
RPZ,Ranapratapnagar,Udaipur,Rajasthan,28
RQJ,Raninagar Jalpaigiri,Jalpaiguri,West Bengal,5
RQP,Radhakishorepur,Cuttack,Odisha,1
RQTS,Rae Bareli Qt,#N/A,,0
RR,Richha Road,Bareilly,Uttar Pradesh,0
RRAL,Rure Asal,Amritsar,Punjab,0
RRB,Birur Jn,Chikkamagaluru,Karnataka,53
RRD,Mumbai Reay Road,Mumbai Suburban,Maharashtra,0
RRE,Rahui Road,Nalanda,Bihar,0
RRGA,Rangareddy Guda,Mahabubnagar,Telangana,0
RRH,Rura,Kanpur Dehat,Uttar Pradesh,0
RRI,Rahuri,Ahmednagar,Maharashtra,0
RRJ,Ramaraju Palli,Anantapur,Andhra Pradesh,0
RRL,Rewral,Nagpur,Maharashtra,0
RRME,Ranchi Road,Ramgarh,Jharkhand,2
RRNH,Ramrupnagar,Purba Champaran,Bihar,0
RRP,Rairangpur,Mayurbhanj,Odisha,0
RRR,Rajarampur Halt,#N/A,,0
RRS,Raghuraj Singh,Rae Bareli,Uttar Pradesh,4
RRU,Rayaru,Gwalior,Madhya Pradesh,0
RRW,Roranwala,Fazilka,Punjab,0
RS,Risia,Bahraich,Uttar Pradesh,1
RSA,Risama,Durg,Chhatisgarh,3
RSC,Ramganga South,Bareilly,Uttar Pradesh,0
RSG,Ramsagar,Bankura,West Bengal,5
RSH,Ratan Shahr,Jhunjhunu,Rajasthan,2
RSI,Raisi,Haridwar,Uttarakhand,4
RSJ,Rayser,Guna,Madhya Pradesh,0
RSKA,Rajsunakhala,Nayagarh,Odisha,1
RSLR,Rasulpur,Purba Bardhaman,West Bengal,0
RSM,Rasmara,Durg,Chhatisgarh,3
RSME,Raswan,Birbhum,West Bengal,0
RSMN,Ramgovindsingh Mahuli Halt,Patna,Bihar,0
RSNA,Rasana Halt,Banas Kantha,Gujarat,0
RSNR,Rai Singh Nagar,Ganganagar,Rajasthan,9
RSR,Rasra,Ballia,Uttar Pradesh,13
RSRI,Raishree,Shivpuri,Madhya Pradesh,0
RSWN,Rameshwar Nagar,Pashchim Champaran,Bihar,0
RSWT,Ramgrah Shekhawati,Sikar,Rajasthan,3
RSY,Rusha Bhdev Upa,#N/A,,0
RSYI,Rasayani,Raigad,Maharashtra,0
RT,Rohat,Pali,Rajasthan,2
RTA,Ruthiyai,Guna,Madhya Pradesh,36
RTB,Raja Talab,Varanasi,Uttar Pradesh,1
RTBR,Ratabari,Karimganj,Assam,0
RTD,Ratlam A Cabin,Ratlam,Madhya Pradesh,0
RTG,Rangtong,Darjeeling,West Bengal,1
RTGH,Ratangarh Jn,Churu,Rajasthan,30
RTGN,Ratangaon,Panna,Madhya Pradesh,0
RTI,Raoti,Ratlam,Madhya Pradesh,2
RTJ,Rantej,Mahesana,Gujarat,0
RTK,Ramtek,Nagpur,Maharashtra,0
RTLM,Ratlam Jn,Ratlam,Madhya Pradesh,0
RTM,Ratlam Jn,Ratlam,Madhya Pradesh,164
RTMC,Ratlam Cabin,#N/A,,0
RTME,Ratlam East Cabin,Ratlam,Madhya Pradesh,0
RTMN,Ratlam New,Ratlam,Madhya Pradesh,2
RTN,Retang,Khordha,Odisha,1
RTP,Ratanpura,Mau,Uttar Pradesh,4
RTR,Ramnathpur,Prayagraj,Uttar Pradesh,1
RTRA,Ramnathpur   Assam,Hailakandi,Assam,0
RTS,Rehta,Lakhimpur Kheri,Uttar Pradesh,0
RTU,Ratan Sarai,Gopalganj,Bihar,0
RTW,Rahatwas,Ashoknagar,Madhya Pradesh,0
RTWS,Rahatwas,Ashoknagar,Madhya Pradesh,0
RTZ,Ratona,Sagar,Madhya Pradesh,0
RU,Renigunta Jn,Chittoor,Andhra Pradesh,177
RUB,Rasulabad,Fatehpur,Uttar Pradesh,1
RUG,Rajlu Garhi,Sonipat,Haryana,0
RUI,Rukni,Purulia,West Bengal,0
RUJ,Ranuj,Patan,Gujarat,0
RUKH,Rukhai Halt,Nalanda,Bihar,0
RUL,Rauli,Rayagada,Odisha,2
RUM,Rupamau,Rae Bareli,Uttar Pradesh,3
RUP,Rupahigaon,Nagaon,Assam,0
RUPC,Rudrapur City,Udham Singh Nagar,Uttarakhand,14
RUR,Ranpur,Botad,Gujarat,2
RURA,Rura,Kanpur Dehat,Uttar Pradesh,15
RUSD,Runni Saidpur,Sitamarhi,Bihar,8
RUT,Ratnal,Kutch,Gujarat,2
RV,Raver,Jalgaon,Maharashtra,13
RVD,Ravikampadu,East Godavari,Andhra Pradesh,0
RVG,Revelganj Ghat Halt,Saran,Bihar,0
RVH,Raipur R V Block,Raipur,Chhatisgarh,0
RVJ,Mumbai Ravli Jn,Mumbai Suburban,Maharashtra,0
RVK,Raja Bhat Khawa,Alipurduar,West Bengal,2
RVKH,Ravindrakhani,Mancherial,Telangana,6
RVN,Rajiv Nagar Halt,Patna,Bihar,0
RVS,Ravanasamudram,Tirunelveli,Tamil Nadu,0
RVSD,Rvsd,#N/A,,0
RVSN,Rvs Nagar,Chittoor,Andhra Pradesh,0
RVT,Revelganj Ghat,Saran,Bihar,0
RW,Rankua,Navsari,Gujarat,0
RWA,Rautara,Katihar,Bihar,0
RWH,Rowriah Sdg,Jorhat,Assam,2
RWJ,Rawania Dungar,Sawai Madhopur,Rajasthan,2
RWL,Raiwala,Dehradun,Uttarakhand,14
RWO,Ranavav,Porbandar,Gujarat,4
RWSR,Mazhama Rajwansher,#N/A,,0
RWTB,Rowta Bagan,Udalguri,Assam,4
RXL,Raxaul Jn,Purba Champaran,Bihar,26
RXM,Rooma,Kanpur Nagar,Uttar Pradesh,1
RXN,Ramsan,Banas Kantha,Gujarat,0
RXR,Rangapahar,Dimapur,,0
RXRX,Rangapahar Crs,Dimapur,,0
RXUL,Raxaul Jn (Mg),Purba Champaran,Bihar,0
RXW,Ratangarh West,Churu,Rajasthan,0
RY,Rayaka,Vadodara,Gujarat,0
RYC,Rayakkottai,Dharmapuri,Tamil Nadu,0
RYGA,Rayanguda,Suryapet,Telangana,0
RYL,Rahiiyol,Sabarkantha,Gujarat,0
RYM,Ramidi Halt,Kapurthala,Punjab,0
RYP,Rayanapadu,Krishna,Andhra Pradesh,22
RYPS,Rayanapadu Shop,Krishna,Andhra Pradesh,0
RYS,Rasuriya,Bareilly,Uttar Pradesh,2
RYSI,Xxx,Raigad,Maharashtra,0
RYT,Rayat Pura,Bhind,Madhya Pradesh,0
RZJ,Razaganj,Lakhimpur Kheri,Uttar Pradesh,0
RZN,Rauzagaon,Ayodhya,Uttar Pradesh,0
S,Shrirangapatna,Mandya,Karnataka,12
SA,Salem Jn,Salem,Tamil Nadu,170
SAA,Sathiaon,Azamgarh,Uttar Pradesh,4
SAB,Santamagulur,Guntur,Andhra Pradesh,0
SABD,Salabad,Bharatpur,Rajasthan,0
SAC,Sanichara,Gwalior,Madhya Pradesh,2
SAD,Sonada,Darjeeling,West Bengal,1
SADL,Sadla,Surendranagar,Gujarat,0
SADP,Saidapur,Yadgir,Karnataka,16
SAE,Simaria,Begusarai,Bihar,0
SAF,Salkhapur,Jaunpur,Uttar Pradesh,1
SAG,Sangrur,Sangrur,Punjab,27
SAGM,Sagma,Satna,Madhya Pradesh,1
SAGR,Shrirajnagar,Rae Bareli,Uttar Pradesh,2
SAH,Saphale,Palghar,Maharashtra,4
SAHA,Sarahula,Ghazipur,Uttar Pradesh,0
SAHI,Sathi,Pashchim Champaran,Bihar,4
SAHL,Saheli,Hoshangabad,Madhya Pradesh,0
SAHP,Sahijpur,Ahmadabad,Gujarat,0
SAHR,Saheri,Ghazipur,Uttar Pradesh,0
SAHT,Samhuta Halt,Rohtas,Bihar,0
SAI,Sarai,Vaishali,Bihar,5
SAJH,Sahja Halt,Katihar,Bihar,0
SAK,Sak Bahadurpur,Vadodara,Gujarat,0
SAKA,Simariya Kajanwada,Mandla,Madhya Pradesh,0
SAKD,Suprakandi,Karimganj,Assam,1
SAL,Salwa,Nagpur,Maharashtra,0
SALE,Salar,Murshidabad,West Bengal,19
SALI,Sali,Jaipur,Rajasthan,2
SALK,Salkea Goods,#N/A,,0
SALR,Salur,Vizianagaram,Andhra Pradesh,0
SAMN,Samni Jn,Bharuch,Gujarat,0
SAMT,Salem Market,Salem,Tamil Nadu,0
SAN,Sandila,Hardoi,Uttar Pradesh,22
SANH,Sanha Halt,Begusarai,Bihar,0
SANI,Sanki,Hazaribagh,Jharkhand,0
SANK,Sank,Morena,Madhya Pradesh,0
SANR,Sardarnagar,Gorakhpur,Uttar Pradesh,2
SAO,Sagoni,Damoh,Madhya Pradesh,4
SAP,Sattenapalle,Guntur,Andhra Pradesh,32
SAPE,Sape Wamne,Raigad,Maharashtra,2
SAPR,Sarangpur Road,Botad,Gujarat,0
SAPT,Sugapahari,Deoghar,Jharkhand,0
SAR,Shahzad Nagar,Rampur,Uttar Pradesh,0
SARR,Sidhauna Rampur Halt,Ghazipur,Uttar Pradesh,0
SAS,Shivdaspura Padampura,Jaipur,Rajasthan,2
SASG,Sasan Gir,Junagadh,Gujarat,0
SASN,Sas Nagar Mohali,S.A.S. Nagar,Punjab,18
SASR,Sausar,Chhindwara,Madhya Pradesh,0
SAT,Sant Road,Panchmahal,Gujarat,4
SATR,Satr Halt,Araria,Bihar,0
SATV,Satv,Prakasam,Andhra Pradesh,0
SAU,Sanand,Ahmadabad,Gujarat,7
SAV,Savda,Jalgaon,Maharashtra,2
SAW,Suriawan,Bhadohi,Uttar Pradesh,13
SAWN,Sohansra,Bhiwani,Haryana,0
SAY,Sayama,Anand,Gujarat,0
SAZ,Samni,Bharuch,Gujarat,0
SB,Sarai Bhopat,Etawah,Uttar Pradesh,0
SB04,Mana,Raipur,Chhatisgarh,0
SBB,Sahibabad,Ghaziabad,Uttar Pradesh,19
SBBJ,Jogulamba Halt,Jogulamba Gadwal,Telangana,4
SBBP,Sardar Ballabh Bhai Patel Halt,Madhubani,Bihar,0
SBC,Bangalore City Jn,Bangalore,Karnataka,127
SBD,Sleemanabad Rd,Katni,Madhya Pradesh,8
SBDP,Sabdalpur,Begusarai,Bihar,2
SBDR,Sonbhadra,Sonbhadra,Uttar Pradesh,15
SBE,Sorbhog Jn,Barpeta,Assam,10
SBG,Sahibganj Jn,Sahibganj,Jharkhand,30
SBGA,Shravanbelagola,Hassan,Karnataka,14
SBGN,Sisibargaon,Dhemaji,Assam,2
SBGR,Subhas Gram,Kolkata,West Bengal,0
SBH,Sulebhavi,Belagavi,Karnataka,0
SBHN,Shri Bhavnath,Dungarpur,Rajasthan,0
SBHR,Subrahmanya Road,Dakshina Kannada,Karnataka,14
SBI,Sabarmati Jn,Ahmadabad,Gujarat,3
SBIB,Sabarmati Bg,Ahmadabad,Gujarat,40
SBIC,Sabarmati Bridge,Ahmadabad,Gujarat,0
SBID,Sabarmati D Cabin,Ahmadabad,Gujarat,0
SBIS,Sabarmati South,Ahmadabad,Gujarat,0
SBJ,Sarai Banjara,Patiala,Punjab,1
SBK,Shahbaz Kuli,Ghazipur,Uttar Pradesh,0
SBL,Sabalgarh,Morena,Madhya Pradesh,0
SBLJ,Shri Balaji,Nagaur,Rajasthan,0
SBLT,Shri Bhadriya Lathi,Jaisalmer,Rajasthan,13
SBM,Sonbarsa Kacheri,Saharsa,Bihar,6
SBNM,Subamamrigi,Murshidabad,West Bengal,0
SBNR,Shri Vijainagar,Ganganagar,Rajasthan,2
SBO,Sabaur,Bhagalpur,Bihar,10
SBP,Sambalpur,Sambalpur,Odisha,66
SBPD,Sambalpur Road,Sambalpur,Odisha,24
SBPS,Shaheed Baba Parav Halt,Rohtas,Bihar,0
SBPY,Sambalpur City,Sambalpur,Odisha,16
SBR,Sambhar Lake,Jaipur,Rajasthan,18
SBRA,Sarbahara,Bilaspur,Chhatisgarh,4
SBRM,Sabroom,South Tripura,Tripura,0
SBS,Sangrana Sahib,Amritsar,Punjab,0
SBT,Sabarmati Jn,Ahmadabad,Gujarat,10
SBTA,Sabarmati A Cabin,Ahmadabad,Gujarat,0
SBTF,Sabarmati F Cabin,Ahmadabad,Gujarat,0
SBTI,Sambheti,Bharuch,Gujarat,0
SBTL,Sahebtala,Purba Bardhaman,West Bengal,0
SBV,Simri Bhakhtiyarpur,Saharsa,Bihar,26
SBW,Sbewbabudih,Dhanbad,Jharkhand,0
SBY,Solan Brewery,Solan,Himachal Pradesh,0
SBZ,Siswa Bazar,Maharajganj,Uttar Pradesh,20
SC,Secunderabad Jn,Hyderabad,Telangana,203
SCA,Salchapra,Cachar,Assam,1
SCC,Sitapur Cant,Sitapur,Uttar Pradesh,7
SCE,Senchoa Jn,Nagaon,Assam,6
SCH,Sachin,Surat,Gujarat,6
SCI,Sanchi,Raisen,Madhya Pradesh,12
SCKR,Salichauka Road,Narsinghpur,Madhya Pradesh,6
SCL,Silchar,Cachar,Assam,12
SCM,Simhachalam,Visakhapatnam,Andhra Pradesh,26
SCMN,Simhachalam North,Visakhapatnam,Andhra Pradesh,1
SCN,Sondha Road,Bhind,Madhya Pradesh,0
SCO,Satuna,Jalna,Maharashtra,0
SCP,Sirnapalli,Nizamabad,Telangana,0
SCPD,Suchipind,Jalandhar,Punjab,0
SCPR,Shyama Charanpur Halt,Dhenkanal,Odisha,0
SCQ,Sham Chaurasi,Hoshiarpur,Punjab,0
SCT,Sengottai,Tenkasi,Tamil Nadu,10
SCV,Sukhchain,Sirsa,Haryana,0
SCX,Salesian College,Darjeeling,West Bengal,0
SCY,Sachiwalay Halt,Patna,Bihar,8
SD,Sidhauli,Sitapur,Uttar Pradesh,4
SDAH,Kolkata Sealdah,Howrah,West Bengal,54
SDAM,Sundhiamau,Barabanki,Uttar Pradesh,1
SDB,Shahabad,Kalaburagi,Karnataka,32
SDBH,Sindriblock Hut,Dhanbad,Jharkhand,2
SDBR,Shedubhar,Amreli,Gujarat,0
SDC,Saidabad,Prayagraj,Uttar Pradesh,1
SDD,Sindhawadar,Morbi,Gujarat,0
SDDN,Siddharth Nagar,Siddharthnagar,Uttar Pradesh,0
SDE,Sadisopur,Patna,Bihar,8
SDF,Sudsar,Bikaner,Rajasthan,6
SDG,Sahadai Buzurg,Vaishali,Bihar,2
SDGH,Sri Dungargarh,Bikaner,Rajasthan,14
SDGM,Sardargram,Ahmadabad,Gujarat,2
SDH,Saradhna,Ajmer,Rajasthan,0
SDHA,Sidhari Halt,Azamgarh,Uttar Pradesh,0
SDHR,Sandhanidhar,Gir Somnath,Gujarat,0
SDI,Sagardighi,Murshidabad,West Bengal,6
SDL,Shahdol,Shahdol,Madhya Pradesh,58
SDLE,Swadinpur,Birbhum,West Bengal,2
SDLK,Sundlak,Baran,Rajasthan,1
SDLP,Sadulpur Jn,Ganganagar,Rajasthan,32
SDM,Surareddipalem,Prakasam,Andhra Pradesh,0
SDMD,Sudamdih,Dhanbad,Jharkhand,2
SDMK,Sidmukh,Churu,Rajasthan,4
SDN,Sholavandan,Madurai,Tamil Nadu,10
SDNR,Seydunganallur,Thoothukkudi,Tamil Nadu,2
SDPA,Sundarpura,#N/A,,0
SDPH,Sardar Patel Halt,Nalanda,Bihar,0
SDPN,Sindpan,Mandsaur,Madhya Pradesh,0
SDPR,Sardar Patel Road,North East,Delhi,0
SDPT,Sedarampattu,Tiruvannamalai,Tamil Nadu,0
SDRA,Sudharna,Rewari,Haryana,0
SDRN,Shendurni,Jalgaon,Maharashtra,0
SDRT,Sindri Town,Dhanbad,Jharkhand,0
SDS,Sadulshahr,Ganganagar,Rajasthan,14
SDSL,Sandasal,Vadodara,Gujarat,0
SDT,Sadat,Ghazipur,Uttar Pradesh,7
SDUA,Sadura,#N/A,,0
SDV,Somidevipalle,Prakasam,Andhra Pradesh,0
SDVL,Soldevanahalli,Bangalore,Karnataka,0
SDWR,Sidhwar,Ramgarh,Jharkhand,0
SDY,Sadhoo Garh,Fatehgarh Sahib,Punjab,0
SDZ,Sindhar,Jalandhar,Punjab,0
SE,Semla,Rajkot,Gujarat,0
SEB,Son Nagar,Aurangabad,Bihar,15
SED,Shedbal,Belagavi,Karnataka,2
SEE,Sonpur Jn,Saran,Bihar,89
SEG,Shegaon,Buldhana,Maharashtra,38
SEGM,Sevagram,Wardha,Maharashtra,71
SEH,Sehore,Sehore,Madhya Pradesh,40
SEI,Shendri,Solapur,Maharashtra,2
SEJ,Sarkhej,Ahmadabad,Gujarat,0
SEL,Sankrall,Howrah,West Bengal,0
SELU,Selu,Parbhani,Maharashtra,32
SEM,Seram,Kalaburagi,Karnataka,24
SEN,Senapura,Udupi,Karnataka,0
